tracks	play-repeated	heart	comment
Acústico 1Kilo -  Deixe Me Ir (DOWNLOAD FREE)(Baviera Knust E Pablo Martins)	24,731,506	446,212	1,742
Alok & Sevenn - BYOB [ FREE DOWNLOAD ]	32,291,949	444,165	8,243
Ana W Enta 2016 أنا وإنت عمرو دياب من ألبوم أحلى وأحلى	37,886,086	1,059,947	3,204
Adele | Set Fire To The Rain ( Reggae Version By Reggaesta )	21,521,515	364,369	4,122
Adult Swim - Dj SpinKing Ft. Tyga, Asap Ferg, Jeremih, & Velous (Produced By Vinylz x SpinKing)	28,828,614	370,964	1,428
Amr Diab-Khalek Fakerny عمرو دياب-خليك فاكرنى	27,223,405	855,873	2,449
Animals - Martin Garrix VS Trendsetter (J.Fernandez TrapEdit)	20,580,187	229,374	7,975
Andy Grammer - Honey I'm Good	17,372,208	179,687	1,838
ASAP Rocky – LSD	22,664,262	360,388	1,461
Alexio Ft. Daddy Yankee, Nicky Jam, Farruko y Mas - Tumba La Casa (Remix)	21,035,539	200,535	1,475
Avicii - The Nights	15,987,728	225,240	5,498
ASAP Rocky - Big Spender	19,100,431	324,903	867
Adele - When We Were Young	11,034,728	219,147	1,097
Aventura - solo por un beso	14,115,333	144,755	908
Ayzha Nyree x No Guidance Remix	14,512,048	287,628	5,006
ANUEL AA FT OZUNA - BRINDEMOS	19,534,181	263,169	1,377
Aaron Lewis - "Country Boy"	8,190,614	88,999	1,407
airplane mode	13,850,670	202,667	5,972
Attack on titan Full ( Shingeki no Kyojin)	15,620,209	126,352	7,394
Alan Walker vs Coldplay Hymn For The Weekend [Remix]	15,180,175	212,505	3,778
AC/DC - Back in Black	12,733,351	168,866	2,647
AC DC    Highway To Hell	12,418,966	151,249	2,217
Aaliyah - "Enough Said" (feat. Drake)	17,025,061	261,635	3,212
August Alsina - Porn Star (Prod by $K & DJ Spinz)	13,238,745	180,219	1,257
Alexio Ft. Daddy Yankee, Nicky Jam, Farruko y Mas - Tumba La Casa (Remix)	21,035,541	200,535	1,475
At Night (Stolen Goodz Bootleg)	933,526	3,531	130
As she passes	14,314,904	220,286	6,353
Adele - Someone Like You	13,804,620	339,726	2,318
Avicii - The Nights	15,987,759	225,240	5,498
ASAP Rocky - Big Spender	19,100,434	324,903	867
Ann Marie - In My Feelings (Treat Me Like Somebody Remake)	14,419,050	201,031	1,066
Alan Walker - Faded || ( Medium Quality )	18,290,990	287,300	6,352
Anti	23,945,819	290,030	1,783
Aaron Smith - Dancin (Remix by KRONO)	19,947,573	264,379	4,349
Akon - Don't Matter	14,634,946	254,748	1,568
Alien Boy	18,710,351	262,017	6,241
ASAP Mob (ASAP Rocky & ASAP Ant) - Bath Salt ft. Flatbush Zombies	21,079,685	302,658	1,219
Aux Cord Approved	16,525,199	233,859	1,378
Aku Tenang	16,025,365	201,438	2,096
Already Gone	10,541,960	175,131	2,075
Ahmed Kamel - Cancer || أحمد كامل - كانسر	26,134,737	712,355	3,163
Adele - When We Were Young	11,034,753	219,146	1,097
Austin Mahone - All I Ever Need	13,490,805	160,281	1,234
Aventura - solo por un beso	14,115,342	144,755	908
Arabic Remix - Fi Ha ( Burak Balkan Remix ) [ Download = BUY ]	11,134,109	241,281	1,856
Ayzha Nyree x No Guidance Remix	14,512,100	287,626	5,006
Amor Tumbado	18,241,568	193,507	5,913
ANUEL AA FT OZUNA - BRINDEMOS	19,534,184	263,169	1,377
Ambition (feat. Meek Mill & Rick Ross)	12,530,058	181,918
tracks	play-repeated	heart	comment
Aaron Lewis - "Country Boy"	8,190,616	88,999	1,407
Abstract- Neverland (ft. Ruth B) Prod. By Blulake	10,777,863	145,936	1,524
Astronaut In The Ocean	13,473,084	382,527	11,537
A Cara do Crime "NÓS INCOMODA"- MC Poze do Rodo | Bielzin | PL Quest | MC Cabelinho (prod. Neobeats)	26,273,603	417,477	4,152
airplane mode	13,850,740	202,667	5,972
Asap Rocky - Lord Pretty Flacko Jodye 2 [Glitter Edit]	20,311,458	246,213	752
Attack on titan Full ( Shingeki no Kyojin)	15,620,222	126,352	7,394
Ann Marie- Secret ft YK Osiris	14,151,970	208,132	1,945
Anuel x Nengo Flow - 47 (Remix) ft. Bad Bunny, Darell, Farruko, Sinfónico, Casper [Official Audio]	18,018,177	243,833	1,876
Alan Walker vs Coldplay Hymn For The Weekend [Remix]	15,180,256	212,504	3,778
AC DC - Thunderstruck	8,679,254	99,629	1,804
Adhi Adhi Raat - Bilal Saeed HQ Mp3	3,837,423	81,904	982
Ae Dil Hai Mushkil Jukebox	4,644,971	105,170	879
Again	7,505,323	100,842	965
Ann Marie - Ride For Me (feat. Yung Bleu)	5,574,178	87,611	910
Atown - Good Morning To You (The Birds Are Chirping Song)	4,276,387	64,172	526
Aankhon Kay Sagar - Coke Studio, Season 2	3,022,413	61,493	822
Aazar X Rae Sremmurd - Come Get Her	5,579,288	80,714	571
Ark Night (Chance The Rapper X Zookeepers & Ship Wrek)	5,078,924	68,643	354
Avenged Sevenfold - So Far Away	5,441,071	67,561	1,054
Alexis Y Fido Ft. Cosculluela Y Nengo Flow - Blam Blam	7,090,923	59,288	533
Arcangel - Flow Violento	5,588,921	53,892	425
Ahmed ajmi al molk   سورة الملك احمد بن على العجمی -تبارک	4,715,512	79,909	660
Aline Barros - Ressucita-me	3,788,227	42,799	315
Aerosmith - I don't wanna miss a thing	3,185,158	47,802	296
Alan Walker & Sia - Faded + Cheap Thrills + Alive + Airplanes (ft. Hayley Williams, B.o.B, S. Paul)	6,319,982	87,468	1,251
Artic monkeys - mardy bum	4,607,165	48,642	377
Adele One And Only	4,344,742	61,999	223
Avril Lavigne - I'm With You	4,053,528	41,502	482
Achko Machko - Honey Singh	2,612,453	44,065	928
Arctic Monkeys R U Mine ?	3,944,622	42,851	176
Ahmed ajmi al molk   سورة الملك احمد بن على العجمی -تبارک	4,715,518	79,909	660
Aline Barros - Ressucita-me	3,788,227	42,799	315
Alan Walker & Sia - Faded + Cheap Thrills + Alive + Airplanes (ft. Hayley Williams, B.o.B, S. Paul)	6,319,989	87,468	1,251
Artic monkeys - mardy bum	4,607,167	48,642	377
Adele One And Only	4,344,742	61,999	223
Avril Lavigne - I'm With You	4,053,528	41,502	482
Achko Machko - Honey Singh	2,612,456	44,065	928
Arctic Monkeys R U Mine ?	3,944,622	42,851	176
Ahora Me Llama - Karol G, Bad Bunny	6,513,461	78,865	570
Amr_Diab_-_Aks_Baad_(عمرو_دياب_-_عكس_بعض_(كلمات.mp3	7,074,289	190,864	590
All of me by John Legend (Boyce Avenue Acoustic Cover)	3,861,664	37,516	252
Alone Time - Lil Uzi Vert	6,371,783	88,554	412
A Thousand Miles  - Vanessa Carlton	4,133,342	45,867	616
